שם,עיר,אזור,קטגוריה,קיבולת,קהל יעד,מספר אולמות במתחם,טלפון,אימייל,קישור
הרמוניה בגן,גדרה,שפלה,גן אירועים,,,1,07-23926890,,https://www.mit4mit.co.il
חוות אלנבי,נצר סרני,מרכז,מקום מיוחד (חוף/וילה/טבע),,,1,050-8090777,,https://www.mit4mit.co.il
אלגריה,קרית עקרון,שפלה,גן אירועים,,,1,07-23926805,,https://www.mit4mit.co.il
חוות דרך ארץ,מושב מחסיה,ירושלים והסביבה,מקום מיוחד (חוף/וילה/טבע),,,1,052-6845559,,https://www.mit4mit.co.il
וילה נונה,קיסריה,שרון,מקום מיוחד (חוף/וילה/טבע),,כללי,1,050-8090158,,https://www.mit4mit.co.il
סרה גן אירועים SERA,בית שמש,ירושלים והסביבה,גן אירועים,1000,כללי,1,07-72305479,,https://www.mit4mit.co.il
גארדן הוטל Garden Hotel,חיפה,צפון,גן אירועים,300,כללי,1,050-8355552,,https://www.mit4mit.co.il
צל החורש,דרום השרון,שרון,גן אירועים,,,1,07-23971545,,https://www.tzhelhahoresh.co.il
אודאון גן אירועים בשרון,עמק חפר,שרון,גן אירועים,,,1,07-23926877,,https://www.mit4mit.co.il
88 גן אירועים,עמק חפר,שרון,גן אירועים,,,1,07-23726878,,https://www.mit4mit.co.il
אגדתא,בני ראם,שפלה,מתחם רב-אולמי,,כללי,2,07-23971539,,https://www.mit4mit.co.il
58 גן ומתחם אירועים,פתח תקווה,מרכז,גן אירועים,,,1,055-9705798,,https://www.mit4mit.co.il
שמורתה גן אירועים,אפק,שרון,גן אירועים,,,1,07-23932938,,https://www.mit4mit.co.il
קיסר ים,קיסריה,שרון,מקום מיוחד (חוף/וילה/טבע),,,1,050-8090170,,https://www.mit4mit.co.il
קויה מתחם אירועים,חולון,מרכז,מתחם רב-אולמי,,,1,055-9705807,,https://www.mit4mit.co.il
חלום בחווה,חדרה,שרון,מקום מיוחד (חוף/וילה/טבע),,,1,07-23926883,,https://www.mit4mit.co.il
ים YAM,תל אביב-יפו,מרכז,מקום מיוחד (חוף/וילה/טבע),,,1,055-2118726,,https://www.mit4mit.co.il
עלמה,אבן יהודה,שרון,גן אירועים,,,1,050-8005552,,https://www.mit4mit.co.il
הגבעה,גבעת ברנר,מרכז,גן אירועים,,,1,050-8005550,,https://www.mit4mit.co.il
White,פרדס חנה-כרכור,שרון,אולם קטן/בוטיק,,,1,07-23926806,,https://www.mit4mit.co.il
בית חלל אירועים אורבני,רעננה,שרון,לופט/אורבני,450,כללי,1,050-8090783,,https://www.mit4mit.co.il
YARA יארה,חדרה,שרון,גן אירועים,,,1,055-9705765,,https://www.mit4mit.co.il
גאיה חדרה,חדרה,שרון,גן אירועים,800,כללי,1,07-23939928,,https://www.mit4mit.co.il
עדן גן האירועים,ניר אליהו,שרון,גן אירועים,,,1,07-23929931,,https://www.mit4mit.co.il
שרונית גן אירועים,משמר השרון,שרון,גן אירועים,,,1,07-23929927,,https://www.mit4mit.co.il
בורג׳ בנימינה,בנימינה,שרון,מקום מיוחד (חוף/וילה/טבע),600,כללי,1,050-8092044,,https://www.mit4mit.co.il
ביער גן אירועים,פארק השרון,שרון,מקום מיוחד (חוף/וילה/טבע),,,1,07-23932929,,https://www.mit4mit.co.il
גן הפקאן,רמת הכובש,שרון,גן אירועים,,,1,,,https://www.mit4mit.co.il
סיטרוס,אבן יהודה,שרון,גן אירועים,,,1,050-8727271,,https://www.mit4mit.co.il
בדולינה,רעננה,שרון,לופט/אורבני,450,כללי,1,055-9705773,,https://www.mit4mit.co.il
קסאנאדו,פתח תקווה,מרכז,גן אירועים,1000,כללי,1,0722160245,,https://mazaltov.walla.co.il
טרמינל קב' הבאר של סבא,פתח תקווה,מרכז,גן אירועים,900,כללי,1,07-23932936,,https://mazaltov.walla.co.il
ויא Via,נס ציונה,מרכז,אולם קטן/בוטיק,,,1,0722160325,,https://mazaltov.walla.co.il
גבריאל,נס ציונה,מרכז,מתחם רב-אולמי,,,1,0723319310,,https://mazaltov.walla.co.il
אמארה AMARE,נס ציונה,מרכז,אולם קטן/בוטיק,,,1,0723302062,,https://mazaltov.walla.co.il
באסיקו,נס ציונה,מרכז,גן אירועים,450,כללי,1,0723317734,,https://mazaltov.walla.co.il
לילות קסומים,קיבוץ חפץ חיים,מרכז,גן אירועים,800,כללי,1,0722238254,,https://mazaltov.walla.co.il
עדיה,יבנה,מרכז,אולם קטן/בוטיק,,,1,0722163776,,https://mazaltov.walla.co.il
אלכסנדר,עמק חפר,שרון,גן אירועים,,,1,0723300760,,https://mazaltov.walla.co.il
טרויה Troya,אשדוד,דרום,אולם חתונות גדול,,,1,0722160279,,https://mazaltov.walla.co.il
NOÉ נואה,כנות,שפלה,גן אירועים,,,1,0722160660,,https://mazaltov.walla.co.il
קאי,עמק חפר,שרון,גן אירועים,,,1,0723305177,,https://mazaltov.walla.co.il
יונו קיסריה,קיסריה,שרון,גן אירועים,700,כללי,1,0529098284,,https://mazaltov.walla.co.il
ווין WIN,עמק חפר,שרון,גן אירועים,,,2,0723300751,,https://mazaltov.walla.co.il
ג'ויה מיה,נחשונים,שרון,גן אירועים,,,1,0723304506,,https://mazaltov.walla.co.il
חוות רונית,געש,שרון,מקום מיוחד (חוף/וילה/טבע),,,1,0554539481,,https://mazaltov.walla.co.il
הגן בשפיים,שפיים,שרון,גן אירועים,,,1,0722163639,,https://mazaltov.walla.co.il
דה גארדן,נתניה,שרון,גן אירועים,300,כללי,1,0723303102,,https://mazaltov.walla.co.il
הגלריה,כפר ויתקין,שרון,אולם קטן/בוטיק,,,1,0722136673,,https://mazaltov.walla.co.il
לה ריין La Reine,עמק חפר,שרון,לופט/אורבני,,,1,0723307909,,https://mazaltov.walla.co.il
על הים,שדות ים,שרון,מקום מיוחד (חוף/וילה/טבע),,,1,0723303987,,https://mazaltov.walla.co.il
5.91 נתניה,נתניה,שרון,גן אירועים,,,1,0723305083,,https://mazaltov.walla.co.il
